"","cohort","month","retention"
"1","Cohort01","M02",0.172727272727273
"2","Cohort02","M02",0.2
"3","Cohort03","M02",0.208695652173913
"4","Cohort04","M02",0.181818181818182
"5","Cohort05","M02",0.171171171171171
"6","Cohort06","M02",0.184466019417476
"7","Cohort07","M02",0.146153846153846
"8","Cohort08","M02",0.104347826086957
"9","Cohort09","M02",0.172727272727273
"10","Cohort10","M02",0.151515151515152
"11","Cohort11","M02",0.15929203539823
"12","Cohort01","M03",0.127272727272727
"13","Cohort02","M03",0.13
"14","Cohort03","M03",0.121739130434783
"15","Cohort04","M03",0.121212121212121
"16","Cohort05","M03",0.117117117117117
"17","Cohort06","M03",0.12621359223301
"18","Cohort07","M03",0.0769230769230769
"19","Cohort08","M03",0.104347826086957
"20","Cohort09","M03",0.104545454545455
"21","Cohort10","M03",0.0984848484848485
"22","Cohort01","M04",0.1
"23","Cohort02","M04",0.11
"24","Cohort03","M04",0.104347826086957
"25","Cohort04","M04",0.0984848484848485
"26","Cohort05","M04",0.0990990990990991
"27","Cohort06","M04",0.121359223300971
"28","Cohort07","M04",0.0692307692307692
"29","Cohort08","M04",0.0956521739130435
"30","Cohort09","M04",0.0931818181818182
"31","Cohort01","M05",0.0909090909090909
"32","Cohort02","M05",0.09
"33","Cohort03","M05",0.0956521739130435
"34","Cohort04","M05",0.0909090909090909
"35","Cohort05","M05",0.0990990990990991
"36","Cohort06","M05",0.116504854368932
"37","Cohort07","M05",0.0615384615384615
"38","Cohort08","M05",0.091304347826087
"39","Cohort01","M06",0.0818181818181818
"40","Cohort02","M06",0.09
"41","Cohort03","M06",0.0869565217391304
"42","Cohort04","M06",0.0833333333333333
"43","Cohort05","M06",0.0945945945945946
"44","Cohort06","M06",0.114563106796117
"45","Cohort07","M06",0.0538461538461538
"46","Cohort01","M07",0.0772727272727273
"47","Cohort02","M07",0.085
"48","Cohort03","M07",0.0826086956521739
"49","Cohort04","M07",0.0795454545454545
"50","Cohort05","M07",0.0900900900900901
"51","Cohort06","M07",0.106796116504854
"52","Cohort01","M08",0.0772727272727273
"53","Cohort02","M08",0.08
"54","Cohort03","M08",0.0782608695652174
"55","Cohort04","M08",0.0757575757575758
"56","Cohort05","M08",0.0810810810810811
"57","Cohort01","M09",0.0727272727272727
"58","Cohort02","M09",0.078
"59","Cohort03","M09",0.0782608695652174
"60","Cohort04","M09",0.0757575757575758
"61","Cohort01","M10",0.0727272727272727
"62","Cohort02","M10",0.075
"63","Cohort03","M10",0.0756521739130435
"64","Cohort01","M11",0.0681818181818182
"65","Cohort02","M11",0.07
"66","Cohort01","M12",0.0672727272727273
